instancia,arquivo_instancia,caminho_instancia,n_pontos,clusters,desvio_cluster_km,semente,exato_fo,exato_tempo_s,grasp_fo,grasp_tempo_s,dmgrasp_fo,dmgrasp_tempo_s,gap_grasp_pct,gap_dmgrasp_pct
1000p_8c_desvio_1_5km,instancia_aleatoria_34_1000p_8c_desvio_1_5km,instances\1000p\8_clusters\desvio_1_5km\instancia_aleatoria_34_1000p_8c_desvio_1_5km.csv,1000,8,1.5,42,943.0000,445.0101,943.0000,51.3172,943.0000,48.5816,0.00,0.00
100p_2c_desvio_2_0km,instancia_aleatoria_02_100p_2c_desvio_2_0km,instances\100p\2_clusters\desvio_2_0km\instancia_aleatoria_02_100p_2c_desvio_2_0km.csv,100,2,2.0,42,100.0000,243.9413,100.0000,2.7614,100.0000,2.2570,0.00,0.00
1500p_17c_desvio_1_0km,instancia_aleatoria_57_1500p_17c_desvio_1_0km,instances\1500p\17_clusters\desvio_1_0km\instancia_aleatoria_57_1500p_17c_desvio_1_0km.csv,1500,17,1.0,42,1380.0000,1461.9599,1380.0000,102.5382,1380.0000,93.1815,0.00,0.00
1500p_20c_desvio_5_0km,instancia_aleatoria_64_1500p_20c_desvio_5_0km,instances\1500p\20_clusters\desvio_5_0km\instancia_aleatoria_64_1500p_20c_desvio_5_0km.csv,1500,20,5.0,42,722.0000,786.5638,722.0000,55.7190,722.0000,53.4785,0.00,0.00
2000p_12c_desvio_5_0km,instancia_aleatoria_72_2000p_12c_desvio_5_0km,instances\2000p\12_clusters\desvio_5_0km\instancia_aleatoria_72_2000p_12c_desvio_5_0km.csv,2000,12,5.0,42,,,1298.0000,127.6277,1298.0000,123.1739,,
2000p_8c_desvio_1_5km,instancia_aleatoria_66_2000p_8c_desvio_1_5km,instances\2000p\8_clusters\desvio_1_5km\instancia_aleatoria_66_2000p_8c_desvio_1_5km.csv,2000,8,1.5,42,,,1938.0000,269.6841,1938.0000,255.6039,,
500p_8c_desvio_1_5km,instancia_aleatoria_18_500p_8c_desvio_1_5km,instances\500p\8_clusters\desvio_1_5km\instancia_aleatoria_18_500p_8c_desvio_1_5km.csv,500,8,1.5,42,481.0000,3600.7345,481.0000,28.4955,481.0000,32.1024,0.00,0.00
